Data Science Salary 2021 to 2023
work_year;experience_level;employment_type;job_title;salary_in_usd;company_location;company_size;;
2023;EN;FT;Applied Scientist;213660;US;L;;
2023;EN;FT;Applied Scientist;130760;US;L;;
2023;EN;FT;Data Quality Analyst;100000;NG;L;;
2023;EN;FT;Compliance Data Analyst;30000;NG;L;;
2023;EN;FT;Applied Scientist;204620;US;L;;
2023;EN;FT;Applied Scientist;110680;US;L;;
2023;EN;FT;Machine Learning Engineer;163196;US;M;;
2023;EN;FT;Machine Learning Engineer;145885;US;M;;
2023;EN;FT;Research Scientist;220000;US;L;;
2023;EN;FT;Data Engineer;85000;US;M;;
2023;EN;FT;Data Engineer;65000;US;M;;
2023;EN;FT;Data Analyst;75000;US;M;;
2023;EN;FT;Data Analyst;70000;US;M;;
2023;EN;FT;Data Analyst;85000;US;M;;
2023;EN;FT;-;75000;US;M;;
2023;EN;FT;Data Engineer;17022;IN;L;;
2023;EN;FT;Data Engineer;85000;US;M;;
2023;EN;FT;Data Engineer;65000;US;M;;
2023;EN;FT;Data Analyst;40663;CA;L;;
2023;EN;FT;Data Scientist;51753;CA;L;;
2023;EN;FT;Data Scientist;130001;US;M;;
2023;EN;FT;Data Scientist;71907;US;M;;
2023;EN;FT;Data Engineer;85000;US;M;;
2023;EN;FT;Data Engineer;65000;US;M;;
2023;EN;FT;Applied Scientist;213660;US;L;;
2023;EN;FT;Applied Scientist;130760;US;L;;
2023;EN;FT;BI Data Engineer;60000;US;M;;
2023;EN;FT;Data Engineer;85000;US;M;;
2023;EN;FT;Data Engineer;65000;US;M;;
2023;EN;FT;Research Engineer;155000;US;M;;
2023;EN;FT;Research Engineer;125000;US;M;;
2023;EN;FT;Research Engineer;155000;US;M;;
2023;EN;FT;Research Engineer;125000;US;M;;
2023;EN;FT;Data Analyst;64200;US;M;;
2023;EN;FT;Data Analyst;56100;US;M;;
2023;EN;FT;Data Engineer;92700;US;M;;
2023;EN;FT;Data Engineer;61800;US;M;;
2023;EN;FT;Business Data Analyst;21461;ES;M;;
2023;EN;FT;Research Engineer;160000;US;M;;
2023;EN;FT;Research Engineer;120000;US;M;;
2023;EN;FT;Autonomous Vehicle Technician;7000;GH;S;;
2023;EN;FT;Applied Machine Learning Scientist;42923;DE;M;;
2023;EN;FT;Data Scientist;190000;US;M;;
2023;EN;FT;Data Scientist;120000;US;M;;
2023;EN;FT;Data Scientist;121093;CH;L;;
2023;EN;FT;Data Analyst;85000;US;M;;
2023;EN;FT;Data Analyst;75000;US;M;;
2023;EN;FT;Data Engineer;92700;US;M;;
2023;EN;FT;Data Engineer;61800;US;M;;
2023;EN;FT;Data Engineer;62000;US;M;;
2023;EN;FT;Data Engineer;58000;US;M;;
2023;EN;FT;Data Engineer;125000;US;M;;
2023;EN;FT;Data Engineer;90000;US;M;;
2023;EN;FT;Data Analyst;95000;US;M;;
2023;EN;FT;Data Analyst;70000;US;M;;
2023;EN;FT;Data Engineer;115100;US;M;;
2023;EN;FT;Data Engineer;73900;US;M;;
2023;EN;FT;AI Programmer;70000;AU;L;;
2023;EN;FT;AI Developer;80000;SE;M;;
2023;EN;FT;Research Scientist;150000;US;M;;
2023;EN;FT;Research Scientist;100000;US;M;;
2023;EN;FT;Data Analyst;75000;US;M;;
2023;EN;FT;Data Analyst;60000;US;M;;
2023;EN;FT;Data Engineer;125000;US;M;;
2023;EN;FT;Data Engineer;90000;US;M;;
2023;EN;FT;AI Developer;214618;DE;L;;
2023;EN;FT;Data Analyst;100000;US;L;;
2023;EN;FT;Data Analyst;150000;US;M;;
2023;EN;FT;Data Analyst;100000;US;M;;
2023;EN;FT;Research Scientist;150000;US;M;;
2023;EN;FT;Research Scientist;100000;US;M;;
2023;EN;FT;Data Analyst;85000;US;M;;
2023;EN;FT;Data Analyst;75000;US;M;;
2023;EN;FT;Data Analyst;30000;IN;M;;
2023;EN;FT;Computer Vision Engineer;220000;US;M;;
2023;EN;FT;AI Developer;64385;DE;M;;
2023;EN;FT;Data Analyst;55000;US;M;;
2023;EN;FT;Data Analyst;48000;US;M;;
2023;EN;PT;Data Analyst;17779;IN;L;;
2023;EN;FT;Data Scientist;19522;BR;L;;
2023;EN;FT;Data Analyst;75000;US;M;;
2023;EN;FT;Data Analyst;60000;US;M;;
2023;EN;FT;Research Engineer;120000;GB;M;;
2023;EN;FT;Research Engineer;60000;GB;M;;
2023;EN;FT;Data Analyst;60000;US;L;;
2023;EN;FT;Data Analyst;50000;US;L;;
2023;EN;FT;Data Scientist;9727;IN;L;;
2023;EN;FT;Data Analyst;85000;US;M;;
2023;EN;FT;Data Analyst;75000;US;M;;
2023;EN;FT;Data Engineer;12000;VN;L;;
2023;EN;FT;Data Analyst;55000;US;M;;
2023;EN;FT;Data Analyst;48000;US;M;;
2023;EN;FT;Data Analyst;100000;US;M;;
2023;EN;FT;Data Scientist;110000;US;S;;
2023;EN;FT;Data Scientist;12767;IN;L;;
2023;EN;FT;Data Engineer;26827;DE;L;;
2023;EN;FT;BI Developer;160000;US;M;;
2023;EN;FT;BI Developer;100000;US;M;;
2023;EN;FT;Big Data Engineer;130000;SE;S;;
2023;EN;FT;Data Engineer;160000;US;M;;
2023;EN;FT;Data Engineer;-;US;M;;
2023;EN;FT;Data Analyst;30000;US;S;;
2023;EN;FT;Data Scientist;124234;US;M;;
2023;EN;FT;Data Scientist;74540;US;M;;
2023;EN;FT;Data Scientist;12888;IN;S;;
2023;EN;FT;AI Developer;120000;BA;S;;
2023;EN;FT;Business Data Analyst;12877;GR;L;;
2023;EN;FT;Data Engineer;160000;US;M;;
2023;EN;FT;Data Engineer;135000;US;M;;
2023;EN;FT;Data Scientist;50000;US;M;;
2023;EN;FT;Data Engineer;160000;US;M;;
2023;EN;FT;-;135000;-;M;;
2023;EN;FT;Research Engineer;160000;US;M;;
2023;EN;FT;Research Engineer;120000;US;M;;
2023;EN;FT;Deep Learning Engineer;150000;US;M;;
2023;EN;FT;Deep Learning Engineer;120000;US;M;;
2023;EN;FT;Data Engineer;160000;US;M;;
2023;EN;FT;Data Engineer;135000;US;M;;
2023;EX;FT;Data Scientist;258750;-;M;;
2023;EX;FT;Data Scientist;185000;US;M;;
2023;EX;FT;-;220000;US;M;;
2023;EX;FT;Data Engineer;205000;US;M;;
2023;EX;FT;Head of Data;329500;US;M;;
2023;EX;FT;Head of Data;269600;US;M;;
2023;EX;FT;Data Engineer;145000;US;M;;
2023;EX;FT;Data Engineer;115000;US;M;;
2023;EX;FT;Data Engineer;175000;US;M;;
2023;EX;FT;Data Engineer;110000;US;M;;
2023;EX;FT;Analytics Engineer;221000;US;M;;
2023;SE;FT;Data Scientist;132000;US;M;;
2023;SE;FT;Data Analyst;208049;US;M;;
2023;SE;FT;Data Analyst;128500;US;M;;
2023;SE;FT;Analytics Engineer;179820;US;M;;
2023;SE;FT;Analytics Engineer;143860;US;M;;
2023;SE;FT;Data Engineer;167500;US;M;;
2023;SE;FT;Data Engineer;106500;US;M;;
2023;SE;FT;Data Scientist;275300;US;M;;
2023;SE;FT;Data Scientist;183500;US;M;;
2023;SE;FT;Data Analyst;190000;US;M;;
2023;SE;FT;Data Analyst;95000;US;M;;
2023;SE;FT;Data Analyst;153600;US;M;;
2023;SE;FT;Data Analyst;106800;US;M;;
2023;SE;FT;Data Scientist;275300;US;M;;
2023;SE;FT;Data Scientist;183500;US;M;;
2023;SE;FT;Machine Learning Scientist;220000;US;M;;
2023;SE;FT;Machine Learning Scientist;170000;US;M;;
2023;SE;FT;Data Analyst;135000;US;M;;
2023;SE;FT;Data Analyst;105500;US;M;;
2023;SE;FT;Data Analyst;100000;US;M;;
2023;SE;FT;Data Analyst;80000;US;M;;
2023;SE;FT;Data Engineer;160000;CA;M;;
2023;SE;FT;Data Engineer;145000;CA;M;;
2023;SE;FT;Data Engineer;150000;US;M;;
2023;SE;FT;Data Engineer;111000;US;M;;
2023;SE;FT;Data Engineer;160000;US;M;;
2023;SE;FT;Data Engineer;130000;US;M;;
2023;SE;FT;Data Engineer;252000;US;M;;
2023;SE;FT;Data Engineer;129000;US;M;;
2023;SE;FT;Data Scientist;201036;US;M;;
2023;SE;FT;Data Scientist;134024;US;M;;
2023;SE;FT;Data Analyst;165000;US;M;;
2023;SE;FT;Data Analyst;140000;US;M;;
2023;SE;FT;Data Scientist;172000;US;M;;
2023;SE;FT;Data Scientist;115000;US;M;;
2023;SE;FT;Data Engineer;163800;US;M;;
2023;SE;FT;Data Engineer;126000;US;M;;
2023;SE;FT;Data Scientist;237000;US;M;;
2023;SE;FT;Data Scientist;145000;US;M;;
2023;SE;FT;Data Engineer;139500;US;M;;
2023;SE;FT;Data Engineer;109400;US;M;;
2023;SE;FT;Data Scientist;258000;CA;M;;
2023;SE;FT;Data Scientist;190000;CA;M;;
2023;SE;FT;Data Engineer;205600;US;L;;
2023;SE;FT;Data Engineer;105700;US;L;;
2023;SE;FT;Data Engineer;252000;US;M;;
2023;SE;FT;Data Engineer;129000;US;M;;
2023;SE;FT;Data Scientist;239748;US;M;;
2023;SE;FT;Data Scientist;159832;US;M;;
2023;SE;FT;Data Scientist;186300;US;M;;
2023;SE;FT;Data Scientist;102500;US;M;;
2023;SE;FT;Data Engineer;165000;US;M;;
2023;SE;FT;Data Engineer;132300;US;M;;
2023;SE;FT;Data Scientist;190000;US;M;;
2023;SE;FT;Data Scientist;126000;US;M;;
2023;SE;FT;Data Architect;149040;US;M;;
2023;SE;FT;Data Architect;113900;US;M;;
2023;SE;FT;Data Engineer;153600;US;M;;
2023;SE;FT;Data Engineer;106800;US;M;;
2023;SE;FT;Data Engineer;172600;US;M;;
2023;SE;FT;Data Engineer;107900;US;M;;
2023;SE;FT;Data Analyst;180180;US;M;;
2023;SE;FT;Data Analyst;106020;US;M;;
2023;SE;FT;Data Architect;376080;US;M;;
2023;SE;FT;Data Architect;213120;US;M;;
2023;SE;FT;Data Analyst;153600;US;M;;
2023;SE;FT;Data Analyst;100500;US;M;;
2023;SE;FT;Data Analyst;206500;US;M;;
2023;SE;FT;Data Analyst;121600;US;M;;
2023;SE;FT;Data Engineer;260000;US;M;;
2023;SE;FT;Data Engineer;225000;US;M;;
2023;SE;FT;Cloud Database Engineer;170000;US;L;;
2023;SE;FT;Applied Machine Learning Scientist;90000;US;L;;
2023;SE;FT;Data Engineer;275000;US;M;;
2023;SE;FT;Data Engineer;160000;US;M;;
2023;SE;FT;Data Analyst;115934;US;M;;
2023;SE;FT;Data Analyst;81666;US;M;;
2023;SE;FT;Data Scientist;175000;US;M;;
2023;SE;FT;Data Scientist;120000;US;M;;
2023;SE;FT;Machine Learning Engineer;150000;US;M;;
2023;SE;FT;Machine Learning Engineer;120000;US;M;;
2023;SE;FT;Research Engineer;200000;US;M;;
2023;SE;FT;Research Engineer;175000;US;M;;
2023;SE;FT;Data Architect;138000;GB;M;;
2023;SE;FT;Data Architect;92000;GB;M;;
2023;SE;FT;Data Manager;65000;CO;M;;
2023;SE;FT;Data Manager;48000;CO;M;;
2023;SE;FT;Data Analyst;110000;US;M;;
2023;SE;FT;Data Analyst;75000;US;M;;
2023;SE;FT;Analytics Engineer;130000;US;M;;
2023;SE;FT;Analytics Engineer;87000;US;M;;
2023;SE;FT;Data Science Manager;299500;US;M;;
2023;SE;FT;Data Science Manager;245100;US;M;;
2023;SE;FT;Data Engineer;147100;US;M;;
2023;SE;FT;Data Engineer;90700;US;M;;
